Entry,Task / split,Status,Pretrained checkpoint,Parameters trained,Optimizer / learning rate,Training budget,Seeds,Author-written task interface
AttentionPert,"T3, unseen gene (10% LO-gene, 5 datasets)",native,gene2vec + graph inputs,All attention/graph parameters,AttentionPert fixed runner settings,20 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
AttentionPert,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",native,gene2vec + graph inputs,All attention/graph parameters,AttentionPert fixed runner settings,20 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
biolord,"T1, cell-context LOCT (Kang, 8 lineages)",native (not reported),n.a.,All parameters (latent size 32),biolord library defaults; no explicit optimizer override,200 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
biolord,"T2, donor LODO (Soskic, 106 donors)",native (not reported),n.a.,All parameters (latent size 32),biolord library defaults; no explicit optimizer override,200 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
biolord,"T3, unseen gene (10% LO-gene, 5 datasets)",native,n.a.,All parameters (latent size 32); GO-neighbour ordered attribute,"latent and decoder 1e-4, attribute network 1e-2, cosine schedule","up to 1,000 epochs (the published unseen-perturbation configuration)",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
biolord,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",native,n.a.,All parameters (latent size 32); GO-neighbour ordered attribute,"latent and decoder 1e-4, attribute network 1e-2, cosine schedule","up to 1,000 epochs (the published unseen-perturbation configuration)",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
biolord,"T5, cell-context LOCT (OP3, 4 lineages)",native (not reported),n.a.,All parameters (latent size 32); RDKit ordered attribute,"latent and decoder 1e-4, attribute network 1e-2, cosine schedule",200 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
biolord,"T5, unseen compound (OP3, 28 held compounds)",native,n.a.,All parameters (latent size 32); RDKit ordered attribute,"latent and decoder 1e-4, attribute network 1e-2, cosine schedule",200 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
CellFlow,"T1, cell-context LOCT (Kang, 8 lineages)",native,n.a.,"All conditional-flow parameters (condition embedding 64, hidden 3 x 1,024, decoder 3 x 2,048)",CellFlow fixed runner settings,"30,000 iterations, batch 1,024",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
CellFlow,"T2, donor LODO (Soskic, 106 donors)",native,n.a.,"All conditional-flow parameters (condition embedding 64, hidden 3 x 1,024, decoder 3 x 2,048)",CellFlow fixed runner settings,"30,000 iterations, batch 1,024",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
CellFlow,"T3, unseen gene (10% LO-gene, 5 datasets)",native,n.a.,"All conditional-flow parameters (condition embedding 64, hidden 3 x 1,024, decoder 3 x 2,048)",CellFlow fixed runner settings,"30,000 iterations, batch 1,024",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
CellFlow,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",native,n.a.,"All conditional-flow parameters (condition embedding 64, hidden 3 x 1,024, decoder 3 x 2,048)",CellFlow fixed runner settings,"30,000 iterations, batch 1,024",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
CellFlow,"T5, cell-context LOCT (OP3, 4 lineages)",native,n.a.,"All conditional-flow parameters (condition embedding 64, hidden 3 x 1,024, decoder 3 x 2,048)",CellFlow fixed runner settings,"30,000 iterations, batch 1,024",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
CellFlow,"T5, unseen compound (OP3, 28 held compounds)",native,n.a.,"All conditional-flow parameters (condition embedding 64, hidden 3 x 1,024, decoder 3 x 2,048)",CellFlow fixed runner settings,"30,000 iterations, batch 1,024",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
CellOT,"T1, cell-context LOCT (Kang, 8 lineages)",native,n.a.,Autoencoder and ICNN transport maps,"Adam / 1e-3 (AE), 1e-4 (OT)","12,000 AE + 8,000 OT iterations","{0, 1, 2} collapsed within lineage",No. No model-specific task interface authored for this study was used.
