ID,Method / entry,Type,Family / category,Required inputs,Intended prediction setting,Executed task(s) / benchmark use,Status,Reason for inclusion or exclusion,Main-text role
S2-01,scBERT,Encoder-only or not executable,Foundation,Pretrained transformer embeddings,Cell-state representation,Not run,Not run,Encoder-only; no perturbation-prediction head to emit expression,"Surveyed, not executed"
S2-02,Geneformer,Encoder-only or not executable,Foundation,Pretrained rank-value embeddings,Cell-state representation,Not run,Not run,Encoder-only; no perturbation head,"Surveyed, not executed"
S2-03,scGPT,Published conditioned predictor,Foundation,Pretrained transformer + perturbation head,Unseen-gene effect,"Executed, T3",Native; bundle-scored,"Published perturbation head executed via the external scPerturBench C3 eval harness; deposited prediction bundles/results are re-scored in this release, but this cell is not retrained by the in-repo manifest",Conditioned predictor (Table 2)
S2-04,scFoundation,Published conditioned predictor,Foundation,Pretrained embeddings + perturbation head,Unseen-gene effect,"Executed, T3",Native/adapted; bundle-scored,"Executed via the external scPerturBench C3 eval harness with deposited implementation artifacts; deposited prediction bundles/results are re-scored in this release, but this cell is not retrained by the in-repo manifest",Conditioned predictor (Table 2)
S2-05,UCE,Encoder-only or not executable,Foundation,Universal cell embeddings,Cell-state representation,Not run,Not run,No decoder to emit expression,"Surveyed, not executed"
S2-06,GeneCompass,Encoder-only or not executable,Foundation,Cross-species embeddings,Cell-state representation,Not run,Not run,Encoder-only; no perturbation head,"Surveyed, not executed"
S2-07,scGenePT,Not-run surveyed method,Foundation (text-conditioned),Embeddings + gene text,Unseen-gene effect,Not run,Not run,No maintained implementation for the immune tasks; foundation family represented by scGPT/scFoundation,"Surveyed, not executed"
S2-08,GenePert,Not-run surveyed method,Foundation (text-conditioned),Embeddings + perturbation text,Unseen-gene effect,Not run,Not run,No maintained implementation; family represented,"Surveyed, not executed"
S2-09,scGen,Published conditioned predictor,Latent / compositional,Perturbation-labelled latent,Cell-context + stimulation transfer,"Executed, T1–T5",Native or adapted,Task-matched where native; re-fit leak-safely elsewhere,Conditioned predictor (Table 2)
S2-10,trVAE,Not-run surveyed method,Latent / compositional,Conditional VAE,Stimulation transfer,Not run,Not run,Latent family represented by scGen/CPA,"Surveyed, not executed"
