task,model,execution_model,role,unit,split,dataset,bundle_path,sha256
T1,CellOT,CellOT,method,B,C1_loct_B,,predictions/C1/C1_LOCT__CellOT__C1_loct_B.npz,9d1ae51548082144538ac0466d4f0114526f48f5014de9ba31c7c54e48350536
T1,CellOT,CellOT,method,CD4T,C1_loct_CD4T,,predictions/C1/C1_LOCT__CellOT__C1_loct_CD4T.npz,bbd425c5b15f41b59093c9310f19a2295f4697a2341d1839d59be6af676a2114
T1,CellOT,CellOT,method,CD8T,C1_loct_CD8T,,predictions/C1/C1_LOCT__CellOT__C1_loct_CD8T.npz,e7bcf9e325345a1cf446648a02b04b7c59b57392ad69ca2ed7df1dca4402aa71
T1,CellOT,CellOT,method,DC,C1_loct_DC,,predictions/C1/C1_LOCT__CellOT__C1_loct_DC.npz,85b3c62c685fd58cb5aae26f7e038fc85e634db6361258085916bc7a19180200
T1,CellOT,CellOT,method,Mk,C1_loct_Mk,,predictions/C1/C1_LOCT__CellOT__C1_loct_Mk.npz,96f2cab5fcb62b9b71a7d1329abf8283c13e35dcced2a0d7d9632ee3f60b9aac
T1,CellOT,CellOT,method,Mono_CD14,C1_loct_Mono_CD14,,predictions/C1/C1_LOCT__CellOT__C1_loct_Mono_CD14.npz,a873daadc90852d98d2cf6073477afb1281f491c88b1e7b0b127c3d18fa5cc81
T1,CellOT,CellOT,method,Mono_FCGR3A,C1_loct_Mono_FCGR3A,,predictions/C1/C1_LOCT__CellOT__C1_loct_Mono_FCGR3A.npz,1132d36fbf48652cd999a685e44d59eea12961ec5c0bae80296b9f4972476b7e
T1,CellOT,CellOT,method,NK,C1_loct_NK,,predictions/C1/C1_LOCT__CellOT__C1_loct_NK.npz,d1f39fbb95d031926c999f18279cda7e783e5139c29e339e76040058ebdf625c
T1,cell-mean,cell-mean,floor,B,C1_loct_B,,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,1dd89d9d86fc9efdba7b41eb02315098c8480f5e8bbc52eed751e22f340a0283
T1,cell-mean,cell-mean,floor,CD4T,C1_loct_CD4T,,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,e6302e5ba090e14502e8891aaf6d141d593d5df36df10b17d0e844aea2fd70ac
T1,cell-mean,cell-mean,floor,CD8T,C1_loct_CD8T,,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,cd213a34f099dfc53a5b6581f16e0e206be49f113b409955c8364accb75d6a76
T1,cell-mean,cell-mean,floor,DC,C1_loct_DC,,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,1595febc91f74d9ac43d67e690261308d6e1caf68c8ec4c2d74a9c7bfc975321
T1,cell-mean,cell-mean,floor,Mk,C1_loct_Mk,,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,6db878f7752e93eca89f126be78f3363ec315852debad683b7d31eb9d1cd9ab5
T1,cell-mean,cell-mean,floor,Mono_CD14,C1_loct_Mono_CD14,,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,14b03b6d3bd34f07fc256e9dcd0649deb8277c8396a17decab4918e6e843e097
T1,cell-mean,cell-mean,floor,Mono_FCGR3A,C1_loct_Mono_FCGR3A,,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,35543436ba37c5b8fd052f3c3dfe4f586a51f5501d90a6cccff24c229ed6ffcb
