Reference,Organism,Cell system,Context,Perturbation,Readout,Scale (sc arm),Accession
A. Immune stimulation datasets,A. Immune stimulation datasets,A. Immune stimulation datasets,A. Immune stimulation datasets,A. Immune stimulation datasets,A. Immune stimulation datasets,A. Immune stimulation datasets,A. Immune stimulation datasets
"(Kang et al., 2018)",Human,"PBMC, 8 SLE-patient donors",in vitro,"Recombinant IFN-β, single concentration, 6 hr stim",scRNA-seq (10x Chromium),"29,065 cells / 8 donors / 1 timepoint / 2 conditions",GSE96583
"(Cano-Gamez et al., 2020)",Human,Naïve and memory CD4⁺ T cells (sorted),in vitro,"Anti-CD3/CD28 ± polarizing cytokines; single-cell arm includes resting, Th0, Th2, Th17, and iTreg states, whereas Th1 and IFN-β response are represented in the bulk/proteomics arms",bulk RNA-seq + proteomics + scRNA-seq (10x),~43k sc cells / multi-donor / 2 timepoints (sc arm),scRNA-seq: EGAS00001003215 / EGAD00001005290; bulk RNA-seq: EGAS00001003823 / EGAD00001005291; proteomics: PXD015315
"(Soskic et al., 2022)",Human,"CD4⁺ T cells (sorted, 119 healthy donors)",in vitro,"Anti-CD3/CD28 Dynabeads, time course: 0 h, 16 h, 40 h, 5 d",scRNA-seq (10x Chromium),"655,349 cells / 119 donors / 4 timepoints","Processed CD4 activation h5ads: Trynka-lab public object store (trynkalab.cog.sanger.ac.uk); raw scRNA-seq EGAD00001008197 + genotypes EGAD00010002291 (EGA, controlled)"
"(Oesinghaus et al., 2025)²",Human,"PBMC, 12 healthy donors",in vitro,"90 recombinant cytokines + PBS control, 24 h stimulation",scRNA-seq (Parse / Allen workflow),~10M PBMC cells / 12 donors / 1 timepoint (24 h) / 91 conditions,Parse / Allen cytokine-dictionary resource; bioRxiv 2025.12.12.693897; DOI: 10.64898/2025.12.12.693897
B. CRISPR gene-perturbation datasets,B. CRISPR gene-perturbation datasets,B. CRISPR gene-perturbation datasets,B. CRISPR gene-perturbation datasets,B. CRISPR gene-perturbation datasets,B. CRISPR gene-perturbation datasets,B. CRISPR gene-perturbation datasets,B. CRISPR gene-perturbation datasets
"(Dixit et al., 2016)⁵",Mouse,Bone-marrow-derived dendritic cells (BMDC),in vitro,CRISPR-KO of 24 transcription factors; LPS stim,Perturb-seq (Drop-seq + sgRNA capture),"~70k BMDC cells (32,624 at 0 h + 37,369 at 3 h post-LPS)",GSE90063
"(Jaitin et al., 2016)⁵",Mouse,BM-derived myeloid cells (DC / monocytes),in vitro + in vivo,"CRISP-seq pooled sgRNAs targeting innate-immunity regulators including Cebpb, Irf8, Rela, Stat1/Stat2, with myeloid differentiation regulators such as Spi1 in the differentiation arm",CRISP-seq (MARS-seq + sgRNA),"In vitro arm BMDC differentiation; in vivo arm ~2,800 cells",GSE90486
"(Datlinger et al., 2017)⁴⁵",Human (cell line),Jurkat T cell line (Cas9-stable),in vitro,"CROP-seq: CRISPR-KO of TCR signalling components, 116 sgRNAs / 29 genes",CROP-seq (sgRNA as polyA transcript),~5.9k cells / 1 cell line / 2 conditions,GSE92872
"(Papalexi et al., 2021)⁴⁵",Human (cell line),THP-1 monocytic leukaemia cell line,in vitro,"THP-1-focused ECCITE-seq screen of 26 PD-L1 regulators (111 sgRNAs), IFN-γ stim; broader study includes K562, KG-1, U937 cell-line contexts",ECCITE-seq (transcriptome + 4 surface proteins + sgRNA),"20,729 stim cells / 26 perturbed genes / 1 cell line",GSE153056
"(Shifrut et al., 2018)¹",Human,"Primary CD8⁺ T cells (sc arm; bulk arm pooled, 2 donors)",in vitro,Genome-wide CRISPR-KO via SLICE (~77k sgRNAs); Perturb-seq arm: 48 sgRNAs,Perturb-seq (10x + sgRNA),Bulk arm genome-wide; sc arm: 48 sgRNAs / 2 donors,GSE119450
"(Schmidt et al., 2022)",Human,Primary CD4⁺ and CD8⁺ T cells (healthy donors),in vitro,Genome-wide CRISPRa/CRISPRi bulk screen; CRISPRa Perturb-seq on ~70 selected hits,CRISPRa Perturb-seq (scRNA-seq + sgRNA),Bulk arm genome-wide; Perturb-seq arm: ~70 hits / multi-donor,GSE190604
"(McCutcheon et al., 2023)¹",Human,Primary CD8⁺ T cells (healthy donors),in vitro,Orthogonal CRISPRi and CRISPRa screens of 120 transcriptional / epigenetic regulators,scRNA-seq characterization of selected hits (hit-focused),Bulk arms: 120-gene CRISPRi + CRISPRa libraries; sc arm: focused-hit,GSE218988 (parent); GSE218985 (scRNA-seq subseries)
"(Chen et al., 2025)¹",Human,Primary human T cells under iTreg-induction,in vitro,Genome-wide CRISPR-KO screen for FOXP3 regulators; Perturb-icCITE-seq on selected hits,Perturb-icCITE-seq (transcriptome + surface + intracellular FOXP3 + sgRNA),Bulk arm genome-wide; sc arm focused on validated hits,"PRJDB16517 (DDBJ, parent); E-GEAD-648 (GEA, analyzed object)"
"(Moonen et al., 2026)²",Human,Primary CD4⁺ T cells,in vitro,"Genome-scale Perturb-seq across 7,664 expressed genes; paired CRE/TAP-seq arm targeting 1,032 cis-regulatory elements",Perturb-seq (10x + sgRNA); paired gene + CRE arms,>4M total primary human CD4⁺ T cells across gene + CRE arms,bioRxiv 2026.03.09.710372; DOI: 10.64898/2026.03.09.710372
