model,cluster,gpu,conda_env,py_var,data_vars,runner_cmd,notes
floors,C1,no,ivc,,IVCBENCH_KANG_PATH,"@PY@ scripts/run_cluster.py --cluster C1 --real --seeds 0 1 2","Universal floor (cell-mean, ctrl-pred, donor-shift, linear-PCA) via run_job; Kang IFN-beta LOCT."
floors,C2,no,ivc,,IVCBENCH_SOSKIC_PATH,"@PY@ scripts/c2_soskic_donor.py","Universal floor on the Soskic donor LODO; same loader the heavy C2 runners reuse."
floors,C3,no,ivc,,IVCBENCH_SCPERTURBENCH_DATASET_DIR,"@PY@ scripts/run_cluster.py --cluster C3 --real --seeds 0 1 2","Universal floor on the five CRISPR datasets; C3 is always real (multi-dataset)."
floors,C4,no,ivc,,IVCBENCH_FRANGIEH_DIR,"@PY@ scripts/run_cluster.py --cluster C4 --real --seeds 0 1 2","Universal floor on the Frangieh leave-one-KO RNA folds; C4 is always real."
floors,C5,no,ivc,,IVCBENCH_OP3_PATH,"@PY@ scripts/run_cluster.py --cluster C5 --real --seeds 0 1 2","Universal floor on the OP3 unseen-compound split."
FP-ridge,C5,no,ivc,,IVCBENCH_OP3_PATH,"@PY@ scripts/c5_loct_expand.py","FP-ridge chemistry prior + floor on the OP3 fine 6-lineage LOCT (the headline FP-ridge cell)."
linear-shift-KOemb,C4,no,ivc,,IVCBENCH_FRANGIEH_DIR,"@PY@ scripts/run_c4_conditioned.py","Reproducible CPU conditioned baseline (linear gene-space shift on a leak-safe KO embedding) + scGen leg on the Frangieh leave-one-KO split."
CellOT,C1,yes,cellot,IVCBENCH_CELLOT_PY,IVCBENCH_KANG_PATH,"@PY@ scripts/cellot_kang.py","CellOT on Kang IFN-beta LOLO; in-process cellot_runner needs the cellot env interpreter."
CellOT,C2,yes,cellot,IVCBENCH_CELLOT_PY,IVCBENCH_SOSKIC_PATH,"@PY@ scripts/cellot_soskic.py","CellOT on Soskic donor LODO (the headline 0.3666 cell); full 106 donors. --chunk I N shards across GPUs."
CellOT,C4,yes,cellot,IVCBENCH_CELLOT_PY,IVCBENCH_FRANGIEH_DIR,"@PY@ scripts/cellot_frangieh.py","CellOT on Frangieh leave-one-KO RNA (Axis-2). Shells the model step into the cellot env."
scPRAM,C1,yes,ivc-scpram,IVCBENCH_IVC_SCPRAM_PYTHON,IVCBENCH_KANG_PATH,"@PY@ scripts/scpram_kang.py","scPRAM on Kang LOCT; subprocess into the ivc-scpram env."
scPRAM,C2,yes,ivc-scpram,IVCBENCH_IVC_SCPRAM_PYTHON,IVCBENCH_SOSKIC_PATH,"@PY@ scripts/scpram_soskic.py","scPRAM on Soskic donor LODO; --chunk I N shards donors across GPUs."
scPRAM,C4,yes,ivc-scpram,IVCBENCH_IVC_SCPRAM_PYTHON,IVCBENCH_FRANGIEH_DIR,"@PY@ scripts/scpram_frangieh.py","scPRAM on Frangieh leave-one-KO RNA, run honestly as an OT floor (not_defined on KO)."
