Entry,Task / split,Status,Pretrained checkpoint,Parameters trained,Optimizer / learning rate,Training budget,Author-written task interface
Biolord,T1 — cell-context LOCT,native,n.a.,All parameters (latent size 32),Biolord fixed runner settings,200 epochs,No — no model-specific task interface authored for this study was used.
CPA,T1 — cell-context LOCT,native,n.a.,All CPA parameters; task interface fitted per fold,Adam / 1e-3,60 epochs,No — no model-specific task interface authored for this study was used.
CellOT,T1 — cell-context LOCT,native,n.a.,Autoencoder and ICNN transport maps,"Adam / 1e-3 (AE), 1e-4 (OT)","12,000 AE + 8,000 OT iterations",No — no model-specific task interface authored for this study was used.
scFoundation,T1 — cell-context LOCT,adapted,released cell encoder,MLP decoder head only (encoder frozen),AdamW / 1e-3,15 epochs,Yes — the author-written T1 interface estimates a training-lineage latent shift and trains an MLP decoder for 512 response genes; other genes retain the held-control mean.
scGPT,T1 — cell-context LOCT,adapted,scGPT_human,All model parameters (end-to-end fine-tuning),AdamW / 1e-4,10 epochs,Yes — the author-written T1 interface replaces the gene-specific perturbation token with one global flag for the seen stimulus.
scGen,T1 — cell-context LOCT,native,n.a.,All VAE parameters; task interface fitted per fold,scGen fixed runner settings,60 epochs,No — no model-specific task interface authored for this study was used.
CPA,T2 — donor LODO,native,n.a.,All CPA parameters; task interface fitted per fold,Adam / 1e-3,60 epochs,No — no model-specific task interface authored for this study was used.
CellOT,T2 — donor LODO,native,n.a.,Autoencoder and ICNN transport maps,"Adam / 1e-3 (AE), 1e-4 (OT)","12,000 AE + 8,000 OT iterations",No — no model-specific task interface authored for this study was used.
PertAdapt,T2 — donor LODO,native,released scFoundation encoder,GO-masked adaptation head only (encoder frozen),AdamW / 1e-3,15 epochs,No — no model-specific task interface authored for this study was used.
STATE,T2 — donor LODO,native,n.a.,All STATE transition-model parameters,STATE fixed runner settings,400 steps,No — no model-specific task interface authored for this study was used.
scFoundation,T2 — donor LODO,adapted,released cell encoder,Decision head only (encoder frozen),AdamW / 1e-3,15 epochs,"Yes — the author-written T1 cell-context interface reused here, with the donor as the held group: a training-group latent shift with an MLP decoder for 512 response genes; other genes retain the held-control mean."
scGPT,T2 — donor LODO,adapted,scGPT_human,All model parameters (end-to-end fine-tuning),AdamW / 1e-4,10 epochs,"Yes — the author-written T1 cell-context interface reused here, with the donor as the held group: the gene-specific perturbation token is replaced by one global flag for the seen stimulation."
scGen,T2 — donor LODO,native,n.a.,All VAE parameters; task interface fitted per fold,scGen fixed runner settings,60 epochs,No — no model-specific task interface authored for this study was used.
scPRAM,T2 — donor LODO,native,n.a.,"VAE, OT matching and attention parameters",scPRAM fixed runner settings,100 epochs,No — no model-specific task interface authored for this study was used.
AttentionPert,T3 — unseen gene (10%),native,gene2vec + graph inputs,All attention/graph parameters,AttentionPert fixed runner settings,20 epochs,No — no model-specific task interface authored for this study was used.
CINEMA-OT,T3 — unseen gene (10%),diagnostic,n.a.,No neural checkpoint; OT problem fitted per fold,entropic Sinkhorn (eps 1e-3),"20-PC OT; up to 4,000 cells/arm","n.a. — diagnostic comparator, not a conditioned-method claim."
CPA,T3 — unseen gene (10%),adapted,n.a.,All CPA parameters; task interface fitted per fold,Adam / 1e-3,60 epochs,Yes — the author-written T3 interface regresses train-gene CPA latent shifts on a control-only-PCA gene embedding and decodes the predicted held-gene shift.
GEARS,T3 — unseen gene (10%),native,n.a.,All graph-model parameters,GEARS fixed runner settings,15 epochs,No — no model-specific task interface authored for this study was used.
PertAdapt,T3 — unseen gene (10%),native,released scFoundation encoder,GO-masked adaptation head only (encoder frozen),AdamW / 1e-3,15 epochs,No — no model-specific task interface authored for this study was used.
STATE,T3 — unseen gene (10%),native,n.a.,All STATE transition-model parameters,STATE fixed runner settings,400 steps,No — no model-specific task interface authored for this study was used.
scFoundation,T3 — unseen gene (10%),native,released cell encoder,Decision head only (encoder frozen),AdamW / 1e-3,15 epochs,No — no model-specific task interface authored for this study was used.
scGPT,T3 — unseen gene (10%),native,scGPT_human,All model parameters (end-to-end fine-tuning),AdamW / 1e-4,10 epochs,No — no model-specific task interface authored for this study was used.
scGen,T3 — unseen gene (10%),adapted,n.a.,All VAE parameters; task interface fitted per fold,scGen fixed runner settings,60 epochs,Yes — the author-written T3 interface regresses train-gene scGen latent shifts on a control-only-PCA gene embedding and decodes the predicted held-gene shift.
AttentionPert,T4 — unseen KO (RNA),native,gene2vec + graph inputs,All attention/graph parameters,AttentionPert fixed runner settings,20 epochs,No — no model-specific task interface authored for this study was used.
CPA,T4 — unseen KO (RNA),native,n.a.,All CPA parameters; task interface fitted per fold,Adam / 1e-3,60 epochs,No — no model-specific task interface authored for this study was used.
CellOT,T4 — unseen KO (RNA),native,n.a.,Autoencoder and ICNN transport maps,"Adam / 1e-3 (AE), 1e-4 (OT)","12,000 AE + 8,000 OT iterations",No — no model-specific task interface authored for this study was used.
GEARS,T4 — unseen KO (RNA),native,n.a.,All graph-model parameters,GEARS fixed runner settings,15 epochs,No — no model-specific task interface authored for this study was used.
STATE,T4 — unseen KO (RNA),native,n.a.,All STATE transition-model parameters,STATE fixed runner settings,400 steps,No — no model-specific task interface authored for this study was used.
linear-shift-KOemb,T4 — unseen KO (RNA),diagnostic,n.a.,Control-PCA gene embedding + ridge shift,closed-form ridge / alpha 1,deterministic per-fold fit,"n.a. — diagnostic comparator, not a conditioned-method claim."
scFoundation,T4 — unseen KO (RNA),native,released cell encoder,Decision head only (encoder frozen),AdamW / 1e-3,15 epochs,No — no model-specific task interface authored for this study was used.
scGPT,T4 — unseen KO (RNA),native,scGPT_human,All model parameters (end-to-end fine-tuning),AdamW / 1e-4,10 epochs,No — no model-specific task interface authored for this study was used.
scGen,T4 — unseen KO (RNA),native,n.a.,All VAE parameters; task interface fitted per fold,scGen fixed runner settings,60 epochs,No — no model-specific task interface authored for this study was used.
scPRAM,T4 — unseen KO (RNA),adapted,n.a.,"VAE, OT matching and attention parameters",scPRAM fixed runner settings,100 epochs,Yes — the author-written T4 interface forms a pseudo-paired reference from non-targeting controls and a shared reference token; its prediction is perturbation-agnostic.
CINEMA-OT,T5 — unseen compound,diagnostic,n.a.,No neural checkpoint; OT problem fitted per fold,entropic Sinkhorn (eps 1e-3),"20-PC OT; up to 4,000 cells/arm","n.a. — diagnostic comparator, not a conditioned-method claim."
CPA,T5 — unseen compound,native,n.a.,All CPA parameters; task interface fitted per fold,Adam / 1e-3,60 epochs,No — no model-specific task interface authored for this study was used.
FP-ridge,T5 — unseen compound,diagnostic,n.a.,Morgan-fingerprint ridge coefficients,closed-form ridge / alpha 10,deterministic per-fold fit,"n.a. — diagnostic comparator, not a conditioned-method claim."
STATE,T5 — unseen compound,adapted,n.a.,All STATE transition-model parameters,STATE fixed runner settings,400 steps,Yes — the author-written T5 interface supplies Morgan fingerprints as STATE perturbation features for held compounds.
scGen,T5 — unseen compound,adapted,n.a.,All VAE parameters; task interface fitted per fold,scGen fixed runner settings,60 epochs,Yes — the author-written T5 interface regresses train-compound scGen latent shifts on Morgan fingerprints and decodes the held-compound shift.
chemCPA,T5 — unseen compound,native,RDKit/Morgan drug embeddings,All native chemCPA parameters,chemCPA fixed runner settings,60 epochs,No — no model-specific task interface authored for this study was used.
CINEMA-OT,T5 — cell-context LOCT,diagnostic,n.a.,No neural checkpoint; OT problem fitted per fold,entropic Sinkhorn (eps 1e-3),"20-PC OT; up to 4,000 cells/arm","n.a. — diagnostic comparator, not a conditioned-method claim."
CPA,T5 — cell-context LOCT,native,n.a.,All CPA parameters; task interface fitted per fold,Adam / 1e-3,60 epochs,No — no model-specific task interface authored for this study was used.
FP-ridge,T5 — cell-context LOCT,diagnostic,n.a.,Morgan-fingerprint ridge coefficients,closed-form ridge / alpha 10,deterministic per-fold fit,"n.a. — diagnostic comparator, not a conditioned-method claim."
STATE,T5 — cell-context LOCT,native,n.a.,All STATE transition-model parameters,STATE fixed runner settings,400 steps,No — no model-specific task interface authored for this study was used.
scFoundation,T5 — cell-context LOCT,adapted,released cell encoder,Decision head only (encoder frozen),AdamW / 1e-3,15 epochs,Yes — the author-written T1 cell-context interface reused here for the seen-compound cell-axis split: a training-lineage latent shift with an MLP decoder for 512 response genes; other genes retain the held-control mean.
scGPT,T5 — cell-context LOCT,adapted,scGPT_human,All model parameters (end-to-end fine-tuning),AdamW / 1e-4,10 epochs,Yes — the author-written T1 cell-context interface reused here for the seen-compound cell-axis split: the gene-specific perturbation token is replaced by one global flag for the seen exposure.
scGen,T5 — cell-context LOCT,native,n.a.,All VAE parameters; task interface fitted per fold,scGen fixed runner settings,60 epochs,No — no model-specific task interface authored for this study was used.
