Model,What the released interface consumes,T1,T2,T3,T4,T5c,T5u
AttentionPert,"A 0/1 indicator over the measured gene panel, embedded with Gene2Vec and spread by attention over a gene-similarity graph.",not reported,not reported,native,native,not reported,not reported
biolord,"A cell decomposed into a residual state and declared attributes; a perturbation is either a categorical attribute (seen labels only) or an ordered attribute (RDKit chemistry for compounds, GO-neighbour vectors for genes), in which an unseen perturbation is an unseen value rather than a missing category.",not reported,not reported,native,native,not reported,native
CellFlow,"A conditional flow from the control cell distribution to the perturbed one, with the perturbation entering as a learned embedding of any numeric representation supplied for it through perturbation_covariate_reps.",native,native,native,native,native,native
CellOT,"The control and the observed perturbed cell populations of one perturbation, from which one transport map is fitted; the holdout is the population the map is applied to.",native,native,not reported,not reported,native,not reported
CINEMA-OT,"Control and treated populations of observed cells, selected by name through ref_label and expr_label; the released call returns a confounder-adjusted single-cell treatment effect indexed by the control cells, from which their counterfactual treated profile follows directly. It carries no encoder over an unobserved gene or compound.",not reported,not reported,not reported,not reported,not reported,not reported
CPA,"One learned embedding per perturbation label seen in training, composed with covariate embeddings; the released chemistry configuration replaces that lookup with an RDKit/Morgan molecular encoder.",native,native,not reported,not reported,native,native
FP-ridge,"Morgan fingerprints of the training compounds and their control-to-treated shifts; written for this benchmark, not a published method.",not reported,not reported,not reported,not reported,diagnostic,diagnostic
GEARS,"A gene symbol carrying a node in the method's Gene Ontology graph, plus the training expression object the released predict call reads its control cells from.",not reported,not reported,native,native,not reported,not reported
linear-shift-KOemb,"The control-only PCA loading of the perturbed gene and the training knockouts' shifts; written for this benchmark, not a published method.",not reported,not reported,diagnostic,diagnostic,not reported,not reported
PertAdapt,"A perturbation embedding from the GEARS graph encoder over the GO vocabulary, fed to a GO-masked adaptation head on a frozen foundation encoder.",not reported,not reported,native,native,not reported,not reported
PerturbNet,"A perturbation's structure read by a pretrained encoder (ChemicalVAE on SMILES, GenotypeVAE on GO annotation), mapped to a cell-state distribution by a conditional invertible flow; the flow is conditioned on the perturbation alone.",native,native,native,native,native,native
PRnet,An unperturbed cell paired with an FCFP4 fingerprint of the compound's SMILES scaled by log10(dose + 1); it carries no cell-line or donor covariate.,not reported,not reported,not reported,not reported,native,native
scFoundation,A pretrained expression encoder used with the authors' released GEARS integration for genetic perturbations and with study-specific response heads for the other tasks. The encoder is frozen in the configurations evaluated here.,adapted,adapted,native,native,adapted,adapted
scGen,Perturbation-labelled cells and a condition key that must already be present in training; the prediction is a latent shift decoded on the held group's own control cells.,native,native,not reported,not reported,native,not reported
scGPT,"A perturbation flag added to the token embedding of the perturbed gene, so the perturbation must be a gene in the model's vocabulary.",adapted,adapted,native,native,adapted,adapted
scPRAM,Control cells and an observed treated reference population are selected by ctrl_key and stim_key. Optimal-transport matching and attention transfer the reference latent response to the target group's control cells; T5 selects each compound separately.,native,native,not reported,not reported,native,not reported
STATE,"A set of the target population's own control cells plus a perturbation embedding, which the released perturbation-feature file may supply as any continuous vector.",native,native,native,native,native,native
