task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.070881934748731,-0.0501444893717723,0.2530787754255374,0.4861369692529748,0.4803909405122158,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2593445961414407,0.0639159928724601,0.4018603927562112,0.477904784869798,0.4715751030335215,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,CellOT,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.1549573190383917,-0.1889706968841735,0.4683135936511652,0.1185986577231882,0.0764527888064308,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.4025284471994655,0.2338978075133201,0.7063059345131195,0.7560507321756204,0.7510011149983059,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,-0.0627481479526227,-0.3163304338888124,0.1564951692185939,0.7906221742129346,0.7853158895954188,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.8735481229720657,0.868667864178074,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.0903850081014376,0.0661214467819441,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.2494383335333929,-0.3127375600681,0.7375662375234558,0.0807992746358269,0.0486710716872509,"{""estimable"": 4}",common observed-defined units; identical for every candidate
